Age,Total Salary (IDR),Total Spending (IDR),Frequency (Yearly),Membership Status
63,93255168,12552387,39,Gold
40,149087961,13636402,37,Gold
52,156473367,22428706,19,Gold
56,177617264,72780089,45,Silver
32,54962317,27270712,29,Gold
41,199554370,78628357,42,Platinum
45,128824844,86766220,38,Platinum
33,78239278,64495674,27,Silver
33,196246961,80823643,21,Silver
57,123784653,77940083,51,Platinum
56,133391897,32203939,23,Gold
23,158382898,15598023,33,Platinum
19,148704835,36630060,27,Silver
30,187388778,99694705,23,Silver
61,161004416,58729992,22,Platinum
64,132723310,31706621,31,Gold
26,181996064,31501260,12,Gold
51,102336006,64637105,38,Silver
34,168132084,83592863,14,Platinum
44,77357811,96969953,23,Platinum
46,170841267,57665194,41,Silver
54,194342012,52704694,20,Platinum
60,59285773,32783388,48,Silver
39,171714127,78105134,12,Gold
68,61305005,18058430,53,Gold
41,67759051,37511826,15,Platinum
24,107568240,74701786,26,Gold
51,118306925,29433060,38,Gold
65,52323985,11595428,19,Silver
29,180586197,72488170,34,Silver
40,147366928,94861019,26,Platinum
32,83308389,58514867,38,Silver
50,143637305,31412211,42,Platinum
30,124863621,50911679,50,Platinum
40,168477652,81037272,58,Silver
55,143891107,69659459,19,Gold
49,97593798,37895885,41,Gold
62,67667864,50775846,53,Gold
67,182972938,78861017,29,Gold
52,136281741,55217239,15,Platinum
18,82830188,99451071,58,Gold
64,156637596,95818891,54,Platinum
62,130052553,81357751,33,Silver
22,164190385,14866148,14,Silver
30,174844015,97091071,26,Platinum
22,95670343,26402675,46,Gold
49,107017965,36275064,58,Platinum
68,173171193,37680872,49,Gold
38,154449787,31878426,44,Gold
41,86644439,13484840,25,Platinum
35,122943416,72786979,59,Platinum
38,104887961,76761774,12,Gold
27,75238671,60050090,37,Platinum
41,52839611,50242496,19,Gold
57,136195043,67078577,27,Platinum
64,107460491,92905308,49,Silver
38,128521418,80030848,21,Gold
42,176805566,37692743,53,Silver
69,188101483,37028920,48,Platinum
40,54617663,42716943,37,Silver
39,191451197,50982357,39,Platinum
21,162547556,60075473,23,Gold
51,93208362,10008981,31,Platinum
23,128837220,80668840,25,Platinum
45,137430530,16607691,57,Gold
48,105070845,26884370,46,Platinum
52,128197502,73962938,40,Gold
56,90136263,84925050,23,Platinum
59,191634883,89652006,29,Gold
40,135734603,72058106,55,Silver
23,125929310,36218057,13,Platinum
33,132996468,12904814,13,Platinum
19,116012495,94822264,28,Platinum
41,197656382,38525318,21,Gold
34,51987881,41630692,29,Platinum
62,124846590,36905710,33,Gold
18,174195147,51628366,30,Platinum
23,190358820,42510185,12,Silver
22,146408817,46998169,35,Platinum
62,174584577,61053948,47,Silver
67,177029881,19957081,36,Gold
46,129318571,96021101,47,Silver
29,104581698,17538009,42,Platinum
56,196661571,81801353,42,Platinum
64,133709131,59367056,13,Gold
20,123683773,40271732,30,Platinum
65,81747600,63578445,23,Platinum
18,92536207,39608705,21,Gold
44,114555016,80596122,42,Gold
65,105921400,70936136,56,Silver
41,57560116,24550703,33,Gold
61,58297530,48823113,34,Platinum
36,144045046,41168629,34,Gold
25,193255179,83383944,26,Platinum
61,187718902,41023701,37,Silver
64,92851880,33384086,14,Gold
19,91111361,21327727,34,Platinum
47,166206858,37518536,31,Gold
47,84344455,48480855,56,Gold
66,88891190,83416540,51,Gold
56,96778501,57461456,50,Gold
62,73326388,27172678,19,Silver
49,123323430,70050986,29,Platinum
18,118830705,10148306,52,Gold
55,93534960,86380094,17,Platinum
30,162962666,97671891,38,Silver
28,141736353,31414187,47,Platinum
27,193429958,13006374,26,Platinum
65,167466526,66748327,48,Silver
43,111864145,27300102,16,Gold
37,79074829,27376709,50,Platinum
34,199809787,40823704,20,Platinum
34,153548660,73861736,18,Gold
21,183097380,82352826,52,Gold
22,126388779,49201676,31,Platinum
40,84964281,87570023,21,Silver
63,51662060,65387477,37,Gold
69,191922353,88957296,15,Gold
27,129027091,18367568,49,Silver
63,195456232,54076911,35,Platinum
45,164703779,81285077,25,Gold
50,144967156,64574689,52,Platinum
60,151610522,89095869,12,Platinum
43,191958087,41564551,28,Platinum
67,59155359,47395056,56,Silver
65,54859648,22764588,35,Platinum
46,135949712,84892945,38,Platinum
44,120085624,38613621,18,Gold
35,62262024,41639355,20,Gold
57,105829843,35118569,54,Silver
27,124737964,24073601,46,Silver
59,144817759,85585217,23,Gold
22,114257857,35292122,32,Gold
27,112475820,33686669,14,Silver
67,110261917,43251942,26,Platinum
38,155352787,25106292,32,Silver
41,95738149,48445879,21,Platinum
55,137383800,15197535,44,Gold
20,114169220,49258843,57,Gold
57,96524898,47139867,17,Gold
48,199821261,45871597,13,Platinum
58,162405704,44353667,40,Silver
54,103725405,33948465,51,Platinum
19,195961111,89705474,44,Silver
19,75092739,50797952,15,Silver
56,174097137,68735632,15,Silver
66,77863686,67099974,40,Gold
59,50908521,20761021,48,Silver
61,184220940,20722351,31,Gold
51,117585521,97080594,52,Silver
59,194266794,16287206,34,Silver
37,91026616,69357549,56,Gold
50,117746957,39332641,29,Gold
21,187708241,49016162,36,Platinum
62,57960135,35494448,12,Silver
61,138913631,10687055,26,Gold
28,167261850,23422577,45,Platinum
59,134211817,28241510,59,Platinum
64,62046500,35609050,31,Gold
22,89923926,21493605,48,Silver
42,113935558,58327025,38,Platinum
66,194010955,61847345,33,Silver
54,145162008,26168345,16,Silver
51,148295362,37084365,45,Platinum
26,57356505,50320269,50,Gold
23,156031977,26678093,14,Silver
35,151557326,64463256,28,Gold
31,98845407,44027235,35,Platinum
36,196260316,78643715,35,Silver
31,55467977,57908590,14,Gold
57,96858511,61978321,56,Gold
34,80780850,81199481,18,Silver
52,103126585,62995264,36,Gold
46,148811896,14813417,14,Gold
59,140778639,48669500,26,Platinum
34,102075393,65053385,40,Platinum
60,197510327,86643337,40,Gold
25,137671910,36877562,21,Gold
18,184467867,42245975,43,Silver
62,114209645,94306209,34,Platinum
53,180037004,49903676,50,Silver
24,114505664,64133658,20,Gold
63,194916653,88322215,48,Silver
22,96589545,99298558,51,Gold
41,147681908,62212000,25,Platinum
45,186619840,48657987,15,Platinum
60,61623796,97629448,31,Gold
34,145471464,47002628,39,Platinum
54,172816242,53499361,25,Gold
37,79143736,38143483,55,Silver
20,66206833,97258518,45,Gold
54,139986118,81997226,24,Silver
43,174468168,84263921,42,Gold
32,168385305,97841624,44,Platinum
68,99226822,65053752,50,Gold
65,161673389,67309964,39,Gold
25,101912270,18467351,36,Gold
30,118836237,85845258,43,Platinum
65,150804222,96374963,20,Gold
20,134069228,35769970,39,Platinum
18,176672502,42962212,42,Gold
26,178598981,91365004,28,Silver
48,158754916,49302845,34,Gold
58,142769184,85451354,24,Silver
43,73501181,66810336,21,Platinum
34,71584360,53968361,27,Platinum
51,130524324,19117535,17,Gold
26,147033764,81422263,59,Platinum
68,92890759,70328668,22,Gold
30,198192998,10951399,14,Platinum
22,129233130,83490770,39,Silver
58,126329913,89273157,52,Platinum
30,122313361,19255211,26,Silver
18,156035000,93271099,24,Gold
42,107396306,89240559,53,Gold
64,124216357,68308776,56,Gold
21,146055583,76561172,28,Silver
53,99928187,75997560,18,Gold
69,163513932,59361663,39,Gold
27,172680778,96731733,49,Silver
45,192440224,26738345,24,Platinum
23,101859613,63444607,28,Gold
44,91982055,48015177,26,Platinum
29,63965345,35165043,47,Platinum
69,50728165,25552975,39,Gold
65,165488469,20621840,26,Gold
20,177664047,18853372,57,Silver
63,164383538,12250477,22,Silver
50,119933529,69311700,42,Gold
27,174408862,81363431,15,Platinum
48,170127791,16914996,46,Silver
32,176907452,44721640,45,Silver
24,105193995,85310183,38,Gold
53,143503821,44877356,21,Gold
31,184891803,19449136,41,Gold
65,184960204,70288658,56,Gold
31,179968057,55172091,31,Silver
20,96285532,34823750,40,Silver
66,190633881,99293904,40,Silver
63,129123995,52085752,34,Platinum
67,149259555,56425925,32,Silver
20,152169906,68847385,59,Silver
39,183279775,36039937,54,Gold
36,120779877,25458874,21,Silver
52,161601602,25943416,52,Silver
29,189373305,56442869,23,Silver
22,51034549,19380638,41,Gold
27,73713139,73450315,44,Silver
58,124396477,69040354,29,Silver
50,180668115,95908143,25,Platinum
30,117204151,34926981,33,Platinum
52,128762774,60194190,32,Platinum
68,192548240,94643982,12,Platinum
49,61266511,43920531,54,Gold
28,197970725,65459660,26,Platinum
65,68173383,31515563,47,Silver
55,196201245,74285097,58,Platinum
41,110112120,20319935,33,Gold
52,156678969,65859612,43,Platinum
36,54158433,56079618,57,Platinum
23,109961421,31670920,44,Gold
57,94396651,92743754,52,Gold
62,155346320,83004746,50,Gold
61,176881786,25820184,34,Gold
59,190367886,66183253,54,Gold
52,169541407,42612857,13,Gold
21,137948400,15330605,13,Silver
50,143952864,68049608,49,Platinum
30,101290552,47859411,40,Platinum
53,187055417,91769929,57,Gold
60,176058722,12956181,14,Gold
36,120597135,49012508,50,Silver
60,82292507,33203646,18,Silver
29,145209825,17971391,47,Gold
28,147621544,39350724,40,Silver
23,163401391,94902567,48,Silver
29,129281054,34473802,47,Gold
44,96069355,76211456,34,Gold
58,72664352,83543412,56,Gold
42,149403473,47282921,27,Gold
59,63407382,75318009,59,Platinum
20,115135035,19609533,42,Platinum
20,97830486,20441909,45,Gold
37,136909007,31272166,12,Silver
45,99307887,89707451,29,Gold
40,54662608,68613549,51,Platinum
65,99037195,60288388,54,Silver
20,124039071,23749872,26,Platinum
59,102311991,95012885,59,Gold
41,155321751,42070617,28,Platinum
60,120445324,29581876,55,Platinum
57,173926419,28455791,21,Platinum
23,65036750,51528842,31,Silver
37,128971956,30802697,17,Platinum
28,92081347,16228462,19,Silver
49,135023413,85448998,56,Gold
44,99119003,17017718,45,Gold
38,190805937,16061598,43,Platinum
61,61374977,53046411,53,Silver
65,78565752,51852146,15,Gold
67,103380206,94620623,55,Silver
30,179979570,44915138,50,Silver
39,102100142,19349313,31,Platinum
52,55616467,93175044,35,Platinum
64,72978935,47541770,35,Silver
39,75638474,42254457,37,Silver
45,78797372,64255896,36,Platinum
38,159892076,36417826,47,Silver
63,85174320,98946453,18,Platinum
35,135613466,29796900,21,Silver
48,50795415,87823957,58,Platinum
63,62697499,58807350,23,Silver
54,170284652,73744714,12,Platinum
38,96755652,54913247,36,Silver
31,154335985,73287778,27,Gold
42,67729610,65002860,16,Gold
44,72884041,25026292,30,Silver
57,132026554,70988359,15,Gold
40,133716481,24049471,17,Silver
48,50396904,53895401,37,Silver
64,74710820,51748995,50,Gold
46,180783430,17479602,50,Silver
64,189998561,83605059,20,Platinum
47,113459489,65861779,56,Silver
68,125923188,25364217,25,Silver
43,126057557,27697416,59,Gold
37,106314654,52783311,20,Platinum
55,89739862,36762085,26,Silver
36,122989463,40940696,48,Silver
44,56050485,89446074,31,Silver
42,199566374,44732584,19,Silver
57,117290000,64535717,43,Silver
55,189584162,12107154,58,Silver
69,102823455,53775757,32,Platinum
40,193529215,62178046,52,Platinum
46,97799231,94363778,30,Silver
32,64262957,33314292,40,Silver
20,123622630,86028401,42,Gold
27,105332984,38738477,17,Platinum
32,139917858,76171407,15,Platinum
33,104258013,63755144,54,Silver
34,94539536,63487342,40,Platinum
36,194355369,29094790,53,Platinum
28,76791964,74128397,14,Gold
65,183612485,37902387,12,Gold
22,146738064,40819143,55,Platinum
22,146262157,56632865,26,Platinum
31,146674711,21244672,58,Platinum
67,138776632,86551007,32,Silver
43,89547697,54353138,57,Gold
25,146585188,90697028,42,Silver
22,51057980,26377053,18,Gold
24,177304551,24665941,28,Gold
33,137669283,59669011,30,Gold
31,54927386,41484495,50,Platinum
54,69641837,99118854,14,Gold
58,187909576,70526385,41,Silver
21,57881317,90730865,46,Gold
53,131037136,11405313,40,Silver
65,105615019,54467502,25,Gold
34,90744495,14163121,46,Gold
64,105703096,68316301,39,Platinum
53,97562314,13686788,41,Silver
23,118754453,56054858,37,Gold
33,136571962,63005031,18,Gold
46,188148769,60662660,50,Silver
53,63784330,35164700,42,Gold
55,110471690,56762756,16,Platinum
54,79882613,67991029,46,Silver
65,172647661,50506207,58,Platinum
65,93857501,56351395,25,Silver
27,172492551,16729806,47,Silver
58,197335175,63084095,38,Silver
53,174980667,31497109,35,Gold
46,85318087,61700385,51,Silver
31,101808118,71830104,40,Silver
21,197281658,81587767,56,Silver
61,166599294,37922448,33,Platinum
59,113730575,28329086,19,Silver
53,174919692,13335160,26,Gold
67,126432982,47740753,16,Silver
62,122497867,41932914,15,Silver
30,174129498,85398545,22,Platinum
63,113467518,25049132,29,Gold
35,136968287,99161695,53,Gold
50,72931448,19678391,41,Gold
38,69933180,24808369,26,Silver
33,62165951,24354489,17,Silver
32,136355564,45235345,27,Gold
22,197079136,27058313,58,Gold
23,143973273,99492036,51,Platinum
55,188671323,62507730,20,Gold
20,138519250,63740587,54,Silver
65,130095338,37839429,45,Silver
29,135866195,91293804,38,Silver
53,50908573,88508636,24,Platinum
50,132578213,62790195,47,Gold
53,117733611,37713487,38,Silver
50,99702208,68637783,20,Platinum
48,110528967,40245035,16,Platinum
38,186536618,35417266,33,Silver
44,54050338,95206135,42,Platinum
44,159294630,24133059,14,Platinum
25,80711515,77426016,41,Silver
54,126218674,38907585,32,Platinum
49,126203640,65224460,46,Silver
43,92409036,84705341,17,Silver
19,147524179,39625849,39,Platinum
29,101730610,60405564,43,Silver
39,173554436,91399788,53,Silver
34,171419574,23606497,48,Gold
24,199669604,83179381,36,Silver
60,101675411,64930263,43,Gold
21,157091095,89281071,46,Gold
54,101190947,10609003,33,Gold
55,172479993,25757040,35,Gold
49,93481708,39991761,50,Platinum
28,50979581,22257042,41,Platinum
18,158193519,88730310,43,Silver
42,87367093,92079634,42,Silver
59,164971553,71775575,34,Silver
69,68112400,60350158,51,Platinum
41,85039064,39825833,44,Gold
60,138885044,47014486,36,Platinum
34,115674458,56897331,47,Platinum
25,149359438,74460261,35,Silver
62,115576108,90418563,42,Silver
44,173823756,33759876,50,Silver
69,60198483,27713448,57,Gold
35,59255180,31725803,24,Gold
44,65362625,45522919,21,Platinum
39,156761186,58320330,34,Gold
33,131838894,34571210,29,Silver
19,75351670,74262087,43,Gold
22,70069241,64428952,44,Gold
35,95498677,74919038,47,Gold
20,154143365,26805885,39,Gold
44,155238659,75697233,27,Silver
34,67197810,71106091,27,Silver
33,153664054,28746603,29,Platinum
23,149343078,64281553,19,Platinum
68,115098467,91561339,53,Platinum
24,84483873,76454577,27,Gold
67,69989274,87365163,22,Gold
31,117811590,19565697,17,Silver
55,89686062,15008029,12,Platinum
57,195273089,62931665,23,Silver
32,161383785,53266078,49,Platinum
64,140934607,62693999,39,Platinum
64,182269006,10645452,56,Platinum
65,185259159,45209875,28,Gold
50,122709214,65679345,12,Platinum
60,187711757,82837654,43,Platinum
44,122627077,70302441,19,Gold
46,173153357,72609637,51,Platinum
54,52554131,58687330,54,Gold
22,81334258,35687139,57,Gold
46,158451023,95353916,35,Silver
49,195069351,13298771,21,Gold
23,198228040,76432194,58,Gold
19,116194285,72678143,50,Gold
23,170010931,12170972,50,Platinum
63,83604704,29507718,21,Silver
60,164326601,55544667,47,Platinum
21,116568638,72532335,36,Gold
46,193092496,61500579,21,Gold
42,130665059,97101855,30,Silver
26,188494673,22724780,57,Silver
20,198588659,33300461,56,Gold
43,191709718,58399880,26,Gold
65,158473656,42259441,27,Platinum
60,152155965,33722314,13,Gold
44,116708149,60124417,40,Platinum
53,172847726,66944650,15,Silver
49,98104371,43920506,40,Platinum
18,101119208,26196494,42,Gold
33,80572098,65553258,28,Platinum
68,85700513,37149854,21,Platinum
65,157332141,75595739,38,Silver
28,105322192,55337533,52,Platinum
43,199705949,77286239,26,Gold
57,122686422,30025496,55,Platinum
18,154111118,88798939,42,Platinum
43,50083576,15902232,32,Platinum
45,186335437,45782098,52,Gold
26,61031873,74429915,57,Platinum
61,186194975,93711616,56,Gold
39,138574228,37504324,37,Platinum
25,68392487,73978441,49,Silver
66,95209051,16400553,47,Silver
59,138093722,89612833,28,Silver
44,117287846,49539939,14,Gold
56,129560661,30402369,25,Gold
36,183278519,20977809,24,Gold
42,115339754,94986700,52,Platinum
55,94961150,81392531,38,Gold
38,87048844,53618942,12,Gold
41,138010109,95505610,28,Gold
41,156644673,80673981,59,Gold
36,197244493,26533981,45,Silver
67,116840631,51351647,25,Platinum
64,140040808,84348831,28,Silver
19,106980177,38298929,14,Platinum
31,61285878,71888509,45,Platinum
49,148017123,15343926,51,Silver
59,112150915,22620315,36,Gold
49,50932280,40576969,13,Silver
45,113927127,76560469,45,Platinum
65,153473235,77505910,37,Platinum
56,70027831,71791056,42,Gold
57,61595422,48928917,20,Silver
59,186823769,32788010,41,Platinum
64,186592821,20771408,31,Silver
57,147031339,62015063,32,Gold
30,87174035,80572451,40,Gold
29,178070221,21459705,36,Platinum
25,132065311,55649911,49,Gold
32,195707963,90782073,55,Platinum
43,106650417,10111597,36,Platinum
29,132807322,47921658,20,Gold
60,189937075,86908851,50,Gold
68,120343363,29171235,55,Silver
63,108811921,97722907,37,Silver
44,179778469,82087885,48,Platinum
35,82886671,39356985,27,Silver
62,163386896,22064163,48,Platinum
53,76290376,31962053,23,Gold
66,141983608,47682173,35,Gold
68,126725858,25881023,37,Silver
44,116827729,91498955,31,Platinum
26,121582255,66430140,20,Platinum
56,130781077,90039901,34,Silver
18,194527095,20259550,50,Platinum
24,52631550,38058883,40,Platinum
43,177156302,34595230,42,Gold
24,187704832,60525850,30,Platinum
69,84263873,48070457,31,Platinum
24,136465749,26016792,34,Platinum
25,154515608,96424389,54,Silver
33,131129921,28392836,38,Silver
20,141020031,43231474,41,Silver
62,114076530,99733978,32,Platinum
27,106442312,16252551,55,Platinum
67,60025396,33489800,46,Silver
24,104342321,90298766,18,Silver
38,59172934,59464803,33,Platinum
54,186680010,21319032,21,Platinum
48,57059559,77409631,34,Gold
40,59258789,31821255,26,Silver
44,87738433,97864302,41,Platinum
39,191736998,22639602,45,Silver
56,105398763,57918862,24,Silver
44,51904400,86645028,15,Silver
66,54122758,40825554,29,Gold
21,118956533,77626790,34,Platinum
41,114634087,16807173,44,Platinum
40,138414246,17647442,45,Silver
65,146739106,58395576,45,Platinum
36,196245678,65400027,47,Gold
59,107651007,75594704,46,Silver
20,98248168,35621906,28,Gold
44,50476684,19816702,39,Gold
20,73196817,25474878,25,Platinum
45,142977044,68139466,45,Platinum
34,135983296,57915342,59,Gold
48,129760611,76936329,22,Platinum
27,108594823,80825578,24,Gold
66,149862515,18241730,44,Gold
39,150591444,94361277,13,Silver
47,178567476,95066114,45,Gold
66,104346324,66838296,40,Gold
38,109964178,64494867,48,Platinum
53,174784433,93737948,15,Silver
40,141344306,19271125,23,Platinum
55,154364647,96990712,37,Silver
29,88493545,25760206,39,Platinum
42,198734404,82593044,14,Gold
37,155130739,86569846,31,Silver
66,125947176,70840435,21,Silver
66,134023119,35666076,29,Silver
59,172223575,83143807,38,Silver
24,68704340,76641454,42,Platinum
46,72447539,97601302,38,Platinum
65,130375205,75639473,53,Silver
46,145534342,92765014,12,Silver
30,83875777,56195678,17,Silver
20,117975389,51228931,22,Platinum
19,184665292,12675059,45,Silver
33,196294230,49425136,50,Silver
47,104609052,77528955,31,Silver
55,59885820,90371650,32,Platinum
23,60980068,21687988,32,Gold
62,126796444,27036417,29,Gold
24,173458161,11786936,32,Platinum
22,191508713,90003269,30,Gold
24,168247415,92976390,15,Silver
51,50524252,76496658,24,Silver
49,94656300,98219307,29,Platinum
66,129269717,24812736,40,Platinum
30,75642868,20542374,36,Gold
47,132852072,77312338,24,Gold
42,76796012,50636012,38,Silver
38,100478187,60458393,30,Platinum
38,69889427,51083563,12,Gold
45,104077619,85255701,49,Gold
65,83476308,11802572,30,Silver
37,127742372,43027291,12,Silver
51,164389575,84429837,51,Silver
22,147364142,73370581,28,Silver
35,111167842,33443229,32,Gold
56,183966267,29872255,33,Platinum
60,127823788,86871123,26,Platinum
28,141679147,37862763,50,Silver
34,149171410,61232442,59,Silver
65,198378364,62264105,50,Gold
62,136642321,44961971,43,Silver
39,131246272,49623167,15,Platinum
54,122676632,87594430,55,Silver
37,155537306,31057640,56,Platinum
65,151833321,48775659,43,Silver
65,163847196,59029440,15,Silver
65,75925598,10313678,12,Platinum
63,152695018,62120735,44,Gold
23,74374819,55476103,18,Gold
51,121740677,85144032,20,Silver
31,92659736,45997148,12,Silver
65,176637214,44781535,27,Platinum
40,70453640,40680559,29,Platinum
37,50263369,93552126,58,Silver
30,164027816,17426041,17,Platinum
64,135476223,21224905,13,Gold
61,99509873,60865533,20,Gold
58,92714708,34177315,15,Platinum
49,62506080,78900320,56,Platinum
43,169784809,20999719,34,Platinum
67,100530689,56350340,54,Gold
31,159030711,71850768,56,Silver
69,133851677,31383518,54,Platinum
53,55997845,16867526,19,Platinum
25,159781750,85159269,50,Platinum
57,142349162,18237180,36,Silver
39,140464848,12598677,27,Platinum
39,112189583,84304782,46,Platinum
33,161485996,19247076,28,Gold
44,70763968,21424241,29,Platinum
27,95473093,86780696,38,Gold
42,161401107,93157044,26,Silver
48,122453355,93993078,28,Platinum
38,194237246,49895909,54,Platinum
44,148582632,34579521,16,Gold
34,109428285,14714714,27,Silver
50,52763357,99259632,26,Silver
48,89488731,85878175,53,Gold
67,174957522,68524948,57,Silver
59,185434681,32964675,45,Silver
43,162240260,71418713,59,Silver
38,143493722,36694369,30,Silver
53,125947753,91506061,19,Silver
18,146601327,69431438,58,Silver
21,198255737,66987937,21,Silver
21,128883510,18468899,16,Silver
43,120565843,81131474,59,Platinum
21,160462279,37158173,37,Gold
66,127385459,38623834,33,Silver
26,130279861,83195404,55,Gold
47,146092426,28674894,34,Silver
68,189879838,38437165,24,Silver
62,81009413,37365047,20,Platinum
21,84872586,35276396,31,Gold
22,67593676,20624757,39,Gold
62,112456830,83141283,55,Platinum
40,86119092,16377844,48,Platinum
33,189638006,93479810,35,Gold
39,176107867,59357330,55,Silver
54,54236901,65362459,44,Silver
25,192276358,91391638,31,Gold
65,84906903,14841712,59,Silver
50,175693438,75729516,41,Platinum
55,62669890,67132904,55,Platinum
60,114990969,77509963,20,Platinum
33,86868929,47637372,56,Gold
22,161505724,17910541,28,Gold
33,65365416,95082925,47,Gold
24,191883729,17708098,25,Silver
68,68657630,33102222,30,Gold
18,192844414,18665394,18,Gold
26,137271948,97969751,14,Platinum
35,184260744,64492659,44,Silver
62,118443860,69138055,55,Silver
64,72775343,57447108,43,Platinum
20,111710132,64095549,58,Silver
41,143510071,98404542,22,Gold
45,62076583,50571791,53,Silver
27,187916266,73544727,13,Platinum
26,126608756,81393797,37,Silver
30,127720830,49832694,15,Platinum
65,64214166,89150904,28,Gold
52,63938736,12436126,28,Gold
40,66310733,76033157,39,Platinum
64,127830733,36522082,41,Gold
34,172970032,54349646,51,Gold
63,102520057,25608476,34,Silver
24,155499101,44718274,57,Gold
69,124998649,48985674,35,Platinum
33,163830295,14641154,40,Gold
57,140687773,57417161,15,Silver
53,77883393,93507119,49,Platinum
37,144319211,81382351,40,Gold
41,50243761,82914208,30,Gold
64,181084875,76900930,38,Gold
22,167875997,83767051,40,Platinum
62,56633381,40115768,47,Silver
23,63507165,79540139,46,Platinum
45,183202216,16894604,17,Platinum
22,123279069,23783703,34,Silver
66,127185592,26335839,50,Platinum
56,124285049,63253228,57,Platinum
55,123110691,17744996,55,Gold
19,179184575,91836180,59,Platinum
60,84496583,84309486,19,Gold
56,140157325,49633979,13,Platinum
38,184693743,25032754,24,Gold
57,117985475,87987860,51,Gold
54,109057344,69632490,32,Gold
35,57429174,25939965,42,Silver
65,198925395,81284980,59,Platinum
63,115082317,89690824,47,Platinum
29,86981927,54849849,59,Platinum
34,191077912,45850829,49,Silver
54,70848152,42350597,38,Gold
63,92299010,28325056,47,Platinum
55,169227253,39633079,59,Silver
32,58375065,59289474,34,Silver
24,133304231,59287593,32,Platinum
31,186190373,21260933,24,Gold
67,87705667,12998277,48,Silver
18,72039005,41465662,58,Platinum
55,104775927,35682067,37,Gold
20,136601446,50743316,51,Silver
54,167878050,35705177,18,Silver
61,84704544,28888793,57,Platinum
48,59195168,12896695,50,Platinum
60,126798029,99300831,33,Gold
30,72510629,83977865,50,Platinum
65,95419913,30833366,34,Platinum
35,75952696,83068281,41,Gold
34,194633371,29217558,29,Platinum
34,160748259,82822813,53,Gold
28,192163710,96833572,29,Gold
37,176589536,72320095,57,Gold
27,63865640,12286113,21,Platinum
46,167184782,25946856,50,Gold
65,76695275,22928171,41,Platinum
51,174594986,71109746,37,Gold
34,84357346,90119829,18,Platinum
69,106132764,13607838,18,Gold
59,56514329,55173126,16,Silver
30,165364235,34792335,12,Silver
61,138148991,77667731,57,Silver
64,192431753,99225514,29,Gold
56,68115439,50419953,24,Platinum
44,195740458,99528082,36,Gold
43,129214100,93926831,51,Gold
45,132673678,33831946,19,Gold
30,78573090,39564878,21,Gold
29,104610287,80288113,43,Platinum
61,73431805,37798828,28,Gold
